ins,strt,to,t,mk,dc,out,ru,pre,lb,ub,opt,dev
J90_20_3,grdlw,600000.0,251.0,86,233,OPT,28.583509513742072,0,86.0,86.0,86.0,0.0
J90_20_4,grdlw,600000.0,239.0,86,280,OPT,30.536839817430995,0,86.0,86.0,86.0,0.0
J90_20_5,grdlw,600000.0,218.0,88,283,OPT,25.09398496240601,0,88.0,88.0,88.0,0.0
J90_20_6,grdlw,600000.0,221.0,83,284,OPT,27.373493975903614,0,83.0,83.0,83.0,0.0
J90_20_7,grdlw,600000.0,195.0,82,248,OPT,23.662176920276664,0,82.0,82.0,82.0,0.0
J90_20_8,grdlw,600000.0,344.0,85,320,OPT,30.38865546218487,0,85.0,85.0,85.0,0.0
J90_20_9,grdlw,600000.0,190.0,76,243,OPT,22.940940136601046,0,76.0,76.0,76.0,0.0
J90_22_1,grdlw,600000.0,5558.0,108,5153,OPT,50.98431765098431,23,108.0,108.0,108.0,0.0
J90_22_10,grdlw,600000.0,436799.0,75,355616,OPT,72.35151515151516,21,75.0,75.0,75.0,0.0
J90_22_2,grdlw,600000.0,15873.0,85,27044,OPT,53.188854489164086,17,85.0,85.0,85.0,0.0
J90_22_4,grdlw,600000.0,11243.0,96,10261,OPT,56.78879310344828,25,96.0,96.0,96.0,0.0
J90_22_5,grdlw,600000.0,1356.0,96,996,OPT,57.08971088435374,20,96.0,96.0,96.0,0.0
J90_22_6,grdlw,600000.0,3716.0,71,7562,OPT,62.78663717844256,26,71.0,71.0,71.0,0.0
J90_22_7,grdlw,600000.0,6240.0,90,7187,OPT,55.80712788259958,23,90.0,90.0,90.0,0.0
J90_22_8,grdlw,600000.0,1918.0,97,1415,OPT,40.72164948453608,30,97.0,97.0,97.0,0.0
J90_23_1,grdlw,600000.0,3260.0,90,5008,OPT,49.86001749781278,12,90.0,90.0,90.0,0.0
J90_23_10,grdlw,600000.0,233.0,87,285,OPT,43.51157754456105,6,87.0,87.0,87.0,0.0
J90_23_2,grdlw,600000.0,835.0,84,708,OPT,44.382197323373795,12,84.0,84.0,84.0,0.0
J90_23_3,grdlw,600000.0,1474.0,116,2069,OPT,33.95828309621413,13,116.0,116.0,116.0,0.0
J90_23_4,grdlw,600000.0,375.0,85,391,OPT,54.17411764705883,12,85.0,85.0,85.0,0.0
J90_23_5,grdlw,600000.0,431.0,95,286,OPT,43.59133126934985,8,95.0,95.0,95.0,0.0
J90_23_6,grdlw,600000.0,8307.0,87,22503,OPT,46.24640804597701,16,87.0,87.0,87.0,0.0
J90_23_7,grdlw,600000.0,242.0,77,323,OPT,51.13512441756717,16,77.0,77.0,77.0,0.0
J90_23_8,grdlw,600000.0,192.0,92,244,OPT,36.85907046476762,6,92.0,92.0,92.0,0.0
J90_23_9,grdlw,600000.0,557.0,126,410,OPT,41.30465051517683,7,126.0,126.0,126.0,0.0
J90_24_1,grdlw,600000.0,227.0,84,274,OPT,34.18819655521783,0,84.0,84.0,84.0,0.0
J90_24_10,grdlw,600000.0,195.0,89,224,OPT,32.70092711978879,0,89.0,89.0,89.0,0.0
J90_24_2,grdlw,600000.0,213.0,92,234,OPT,36.78929765886287,0,92.0,92.0,92.0,0.0
J90_24_3,grdlw,600000.0,229.0,69,205,OPT,34.179321822342416,0,69.0,69.0,69.0,0.0
J90_24_4,grdlw,600000.0,197.0,81,232,OPT,44.378158919545946,0,81.0,81.0,81.0,0.0
J90_24_5,grdlw,600000.0,313.0,85,262,OPT,33.7020778460638,0,85.0,85.0,85.0,0.0
J90_24_6,grdlw,600000.0,198.0,79,277,OPT,35.05108269613827,0,79.0,79.0,79.0,0.0
J90_24_7,grdlw,600000.0,179.0,87,262,OPT,31.773002387695044,0,87.0,87.0,87.0,0.0
J90_24_8,grdlw,600000.0,230.0,88,263,OPT,32.77972027972028,0,88.0,88.0,88.0,0.0
J90_24_9,grdlw,600000.0,249.0,80,260,OPT,39.28947368421053,0,80.0,80.0,80.0,0.0
J90_26_1,grdlw,600000.0,48124.0,90,48934,OPT,55.626204238921005,21,90.0,90.0,90.0,0.0
J90_26_10,grdlw,600000.0,7286.0,92,8857,OPT,48.57906242409521,17,92.0,92.0,92.0,0.0
J90_26_7,grdlw,600000.0,272487.0,82,208108,OPT,71.54791626656424,22,82.0,82.0,82.0,0.0
J90_27_1,grdlw,600000.0,597.0,96,615,OPT,57.22470238095239,11,96.0,96.0,96.0,0.0
J90_27_10,grdlw,600000.0,3057.0,97,2890,OPT,48.61669287669637,17,97.0,97.0,97.0,0.0
J90_27_2,grdlw,600000.0,7179.0,81,6009,OPT,57.600134070722305,30,81.0,81.0,81.0,0.0
